Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,None,Hypercube Cover,1,1,2,0,0,3
Adult Census Income,None,LS Chi Square,1,1,4,0,0,1
Adult Census Income,None,LS Squared Gini,0,0,5,5,5,0
Adult Census Income,None,Largest Class Alone,1,1,3,0,0,2
Adult Census Income,None,PC-ext,1,1,0,0,0,4
Adult Census Income,None,Twoing,1,1,0,0,0,4
Contraceptive,None,Hypercube Cover,1,1,1,0,0,1
Contraceptive,None,LS Chi Square,1,1,0,0,0,5
Contraceptive,None,LS Squared Gini,0,0,5,5,5,0
Contraceptive,None,Largest Class Alone,1,1,1,0,0,1
Contraceptive,None,PC-ext,1,1,1,0,0,1
Contraceptive,None,Twoing,1,1,1,0,0,1
Contraceptive with Aggreg,None,Hypercube Cover,5,5,1,0,0,1
Contraceptive with Aggreg,None,LS Chi Square,0,0,0,1,1,5
Contraceptive with Aggreg,None,LS Squared Gini,0,0,5,3,3,0
Contraceptive with Aggreg,None,Largest Class Alone,2,2,1,1,1,1
Contraceptive with Aggreg,None,PC-ext,0,0,1,2,2,1
Contraceptive with Aggreg,None,Twoing,1,1,1,1,1,1
Cover Type,None,Hypercube Cover,1,1,1,2,2,2
Cover Type,None,LS Chi Square,0,0,0,5,5,5
Cover Type,None,LS Squared Gini,5,5,5,0,0,0
Cover Type,None,Largest Class Alone,1,1,1,2,2,2
Cover Type,None,PC-ext,1,1,1,2,2,2
Cover Type,None,Twoing,4,4,4,1,1,1
Cover Type with Aggreg,None,Hypercube Cover,4,4,4,1,1,1
Cover Type with Aggreg,None,LS Chi Square,0,0,0,5,5,5
Cover Type with Aggreg,None,LS Squared Gini,5,5,5,0,0,0
Cover Type with Aggreg,None,Largest Class Alone,2,2,3,3,3,2
Cover Type with Aggreg,None,PC-ext,1,1,1,4,4,4
Cover Type with Aggreg,None,Twoing,3,3,2,2,2,3
KDD98 Multiclass 2,None,Hypercube Cover,2,2,1,1,1,2
KDD98 Multiclass 2,None,LS Chi Square,0,0,5,5,4,0
KDD98 Multiclass 2,None,LS Squared Gini,1,0,4,4,4,1
KDD98 Multiclass 2,None,Largest Class Alone,2,2,1,1,1,2
KDD98 Multiclass 2,None,PC-ext,5,5,0,0,0,5
KDD98 Multiclass 2,None,Twoing,2,2,1,1,1,2
KDD98 Multiclass 9,None,Hypercube Cover,1,1,2,2,2,3
KDD98 Multiclass 9,None,LS Chi Square,5,5,0,0,0,5
KDD98 Multiclass 9,None,LS Squared Gini,0,0,5,5,5,0
KDD98 Multiclass 9,None,Largest Class Alone,1,1,3,2,2,2
KDD98 Multiclass 9,None,PC-ext,4,4,1,1,1,4
KDD98 Multiclass 9,None,Twoing,1,1,4,2,2,1
San Francisco Crime,None,LS Chi Square,1,1,0,0,0,1
San Francisco Crime,None,LS Squared Gini,0,0,1,1,1,0
San Francisco Crime 15 classes,None,Hypercube Cover,1,1,3,2,2,2
San Francisco Crime 15 classes,None,LS Chi Square,1,1,0,1,1,5
San Francisco Crime 15 classes,None,LS Squared Gini,0,0,5,5,5,0
San Francisco Crime 15 classes,None,Largest Class Alone,3,3,1,1,1,4
San Francisco Crime 15 classes,None,PC-ext,1,1,2,2,2,3
San Francisco Crime 15 classes,None,Twoing,5,5,4,0,0,1
Shelter Animal Outcomes,None,LS Chi Square,1,1,0,0,0,1
Shelter Animal Outcomes,None,LS Squared Gini,0,0,1,1,1,0
Shelter Animal Outcomes 15 classes,None,Hypercube Cover,1,1,4,3,3,1
Shelter Animal Outcomes 15 classes,None,LS Chi Square,5,5,0,0,0,5
Shelter Animal Outcomes 15 classes,None,LS Squared Gini,0,0,5,5,5,0
Shelter Animal Outcomes 15 classes,None,Largest Class Alone,1,1,3,3,3,2
Shelter Animal Outcomes 15 classes,None,PC-ext,3,3,2,2,2,3
Shelter Animal Outcomes 15 classes,None,Twoing,4,4,1,1,1,4
